                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3187,                 1.6782,                 1.4041,                0.36116,                0.48276,                0.31212,                0.18464,                 1.1638,                 27.299,                 1.3159,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3187,                 1.7068,                  1.413,                0.37134,                0.56552,                0.36392,                0.20151,                 1.1794,                 30.217,                 1.2833,               0.001307,               0.001307,               0.001307
                     37,                  1.332,                 1.6859,                 1.4181,                0.38701,                0.48276,                0.36291,                0.21288,                 1.1239,                 30.231,                 1.3174,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3299,                 1.7131,                 1.4415,                0.41905,                0.48966,                0.36866,                0.22449,                 1.1711,                 22.827,                 1.2953,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3207,                 1.6801,                 1.3889,                0.39956,                0.51724,                0.36743,                0.21575,                 1.1809,                 24.214,                 1.2663,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3392,                 1.6578,                 1.4023,                0.36068,                0.57931,                0.35335,                0.20772,                 1.1309,                 24.285,                 1.2165,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3063,                 1.6197,                 1.3813,                0.34477,                0.57698,                0.37088,                0.21288,                 1.1914,                 30.623,                 1.3239,               0.001208,               0.001208,               0.001208
                     42,                 1.2735,                 1.5843,                 1.3642,                0.36314,                0.57241,                0.36758,                0.22026,                 1.1463,                 27.282,                 1.2993,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2976,                 1.6195,                 1.3801,                0.40066,                0.53103,                 0.4222,                0.24847,                   1.13,                 36.217,                 1.2743,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2741,                 1.6013,                 1.3581,                0.36879,                0.53103,                0.38206,                0.23603,                 1.1499,                 34.335,                 1.2766,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2361,                 1.5661,                 1.3674,                0.36841,                0.64138,                0.42493,                0.26225,                 1.0841,                 27.483,                 1.2307,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.261,                 1.5846,                 1.3626,                0.29029,                0.53103,                0.28079,                 0.1523,                 1.2966,                 17.274,                 1.4226,               0.001109,               0.001109,               0.001109
                     47,                 1.2419,                 1.5405,                 1.3493,                0.39026,                0.57931,                0.40393,                0.23366,                 1.1321,                 29.086,                 1.2355,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2115,                 1.5433,                 1.3424,                0.38916,                0.55862,                0.42083,                0.25861,                 1.1067,                 25.089,                 1.2401,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2503,                 1.6092,                 1.3486,                0.38276,                 0.6069,                0.40863,                0.23821,                 1.1663,                 26.578,                  1.272,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2271,                 1.5605,                 1.3398,                0.42736,                 0.5931,                0.42617,                0.24758,                 1.0998,                 34.379,                 1.2249,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2293,                 1.5072,                 1.3287,                0.39347,                0.61293,                 0.4119,                0.23896,                 1.1342,                 23.598,                 1.2473,                0.00101,                0.00101,                0.00101
                     52,                  1.195,                 1.4934,                  1.322,                0.38899,                0.52688,                0.36338,                0.20705,                 1.1923,                 24.704,                 1.3073,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2176,                 1.4996,                 1.3353,                0.36576,                0.58621,                0.39646,                0.23481,                 1.2148,                 22.635,                 1.3171,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1763,                 1.4263,                 1.2996,                0.38736,                0.57241,                0.39558,                0.23684,                  1.115,                  22.05,                 1.2447,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1754,                 1.4447,                 1.3352,                0.40854,                0.62405,                0.40621,                 0.2404,                 1.2271,                 22.604,                 1.2996,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1955,                 1.4947,                 1.3166,                0.38397,                 0.5931,                0.36848,                0.22011,                 1.1233,                 18.971,                 1.2771,               0.000911,               0.000911,               0.000911
                     57,                 1.1714,                  1.469,                 1.3071,                0.40751,                0.54549,                0.41404,                0.25349,                 1.1299,                 30.233,                 1.2584,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1563,                 1.4166,                 1.2955,                0.37322,                0.65297,                0.43012,                 0.2545,                 1.0748,                 25.588,                 1.2141,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1839,                 1.4373,                 1.3094,                0.40415,                 0.5931,                0.42434,                0.24963,                 1.1875,                  29.55,                 1.3113,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1439,                  1.445,                 1.2898,                0.38469,                0.56552,                0.42556,                0.24977,                 1.1202,                 27.811,                 1.2509,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1402,                 1.3591,                 1.2828,                0.38047,                0.64138,                0.42846,                0.27867,                 1.0834,                 32.251,                 1.2336,               0.000812,               0.000812,               0.000812
                     62,                 1.1266,                 1.4049,                 1.2809,                 0.4012,                0.63305,                0.46312,                0.27524,                 1.1443,                 37.544,                 1.2839,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1378,                 1.3956,                 1.2901,                0.37903,                0.62069,                0.40107,                0.23559,                 1.1029,                 29.527,                 1.2371,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1135,                 1.3655,                 1.2751,                0.41751,                0.55172,                0.41194,                0.24889,                  1.116,                 30.516,                 1.2361,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.113,                 1.3337,                 1.2787,                0.38826,                0.61379,                0.45949,                0.27054,                 1.1287,                  27.17,                 1.2421,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1094,                 1.3307,                 1.2709,                0.40181,                0.64138,                0.45789,                0.27719,                 1.0696,                 24.931,                  1.209,               0.000713,               0.000713,               0.000713
                     67,                 1.0932,                 1.2776,                 1.2429,                0.41557,                0.59337,                0.46948,                  0.282,                 1.0726,                 19.462,                 1.2065,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0832,                 1.3735,                 1.2705,                0.40274,                0.54483,                0.41846,                0.26248,                 1.0435,                 24.095,                 1.1974,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0881,                 1.3458,                 1.2466,                0.36095,                 0.6069,                  0.433,                0.25318,                 1.0636,                 19.124,                 1.1774,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0371,                 1.2993,                 1.2238,                0.38748,                0.58621,                0.46278,                0.26123,                 1.1337,                 31.875,                 1.2731,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0977,                 1.3044,                  1.256,                0.39492,                0.58621,                0.46663,                0.27347,                 1.0922,                 33.216,                   1.25,               0.000614,               0.000614,               0.000614
                     72,                 1.0865,                 1.3125,                 1.2574,                 0.3754,                0.64248,                0.45578,                0.27221,                 1.0777,                 31.495,                 1.2241,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0539,                 1.2857,                 1.2472,                0.36818,                0.66311,                0.45165,                0.27754,                 1.1083,                 26.343,                 1.2558,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0452,                 1.2398,                 1.2211,                0.40672,                0.57241,                0.44579,                0.27428,                 1.0647,                 23.788,                 1.2024,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0598,                  1.316,                  1.247,                0.41334,                0.58621,                0.45417,                0.27129,                 1.1291,                 34.719,                 1.2628,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0235,                 1.1973,                 1.2059,                  0.377,                0.68859,                0.45481,                0.25873,                 1.1586,                 32.067,                 1.2666,               0.000515,               0.000515,               0.000515
                     77,                 1.0285,                 1.2243,                 1.2258,                0.38709,                0.65517,                0.43895,                0.25332,                 1.1368,                 37.207,                 1.3028,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0181,                 1.2498,                 1.2084,                0.38296,                0.64138,                 0.4172,                0.23946,                 1.1125,                 32.442,                 1.2766,              0.0004754,              0.0004754,              0.0004754
                     79,                0.97418,                 1.1824,                 1.1847,                0.39841,                0.57931,                0.45358,                0.26899,                 1.1064,                 29.052,                 1.2243,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0222,                 1.2457,                 1.2316,                0.37043,                 0.6069,                0.44926,                 0.2703,                  1.132,                 26.454,                 1.2689,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.9863,                  1.216,                 1.1936,                 0.3997,                0.61379,                0.42166,                 0.2522,                 1.1259,                 20.631,                 1.2621,               0.000416,               0.000416,               0.000416
                     82,                0.99654,                 1.2561,                 1.2167,                0.36156,                0.57931,                0.39505,                0.24719,                  1.098,                 28.318,                 1.2509,              0.0003962,              0.0003962,              0.0003962
                     83,                0.98915,                 1.1936,                 1.1866,                0.40267,                0.53929,                0.42403,                  0.251,                 1.1144,                 30.612,                 1.2496,              0.0003764,              0.0003764,              0.0003764
                     84,                0.99589,                   1.23,                 1.2046,                0.36872,                0.57241,                0.43324,                0.25811,                 1.1291,                 23.646,                 1.2502,              0.0003566,              0.0003566,              0.0003566
                     85,                0.98257,                  1.247,                  1.182,                0.40736,                0.51197,                 0.4044,                0.24553,                 1.0953,                 24.586,                 1.2512,              0.0003368,              0.0003368,              0.0003368
                     86,                0.97614,                 1.1638,                 1.1884,                0.39927,                 0.5931,                0.43482,                0.26286,                 1.1207,                 31.204,                 1.2802,               0.000317,               0.000317,               0.000317
                     87,                0.95208,                 1.1539,                 1.1769,                0.39362,                    0.6,                0.44803,                 0.2726,                 1.1041,                 28.534,                 1.2433,              0.0002972,              0.0002972,              0.0002972
                     88,                0.95229,                 1.1342,                  1.166,                0.39464,                0.57098,                0.42312,                0.25581,                 1.1491,                 32.004,                  1.283,              0.0002774,              0.0002774,              0.0002774
                     89,                0.94331,                 1.1361,                 1.1748,                0.39825,                0.57053,                 0.3929,                0.23907,                 1.1556,                 29.798,                 1.2835,              0.0002576,              0.0002576,              0.0002576
                     90,                0.90505,                 1.0836,                 1.1293,                0.38946,                    0.6,                0.40703,                0.23752,                 1.1197,                 26.249,                 1.2563,              0.0002378,              0.0002378,              0.0002378
                     91,                0.85903,                 1.1526,                 1.1133,                 0.3967,                0.62759,                 0.4331,                0.26678,                 1.1395,                 25.619,                 1.2659,               0.000218,               0.000218,               0.000218
                     92,                0.83022,                 1.0845,                 1.0696,                 0.4181,                0.56489,                0.45629,                0.28202,                 1.1404,                 22.951,                 1.2666,              0.0001982,              0.0001982,              0.0001982
                     93,                0.82672,                 1.0364,                 1.0797,                0.40581,                0.57931,                0.46833,                0.29009,                 1.1617,                 26.641,                 1.3072,              0.0001784,              0.0001784,              0.0001784
                     94,                0.82666,                 1.0304,                 1.0868,                 0.3816,                0.57931,                0.42318,                0.25016,                 1.1791,                 20.301,                 1.2899,              0.0001586,              0.0001586,              0.0001586
                     95,                0.80939,                0.99842,                 1.0687,                0.38104,                0.56552,                0.43383,                0.26061,                 1.1441,                 24.141,                 1.2682,              0.0001388,              0.0001388,              0.0001388
                     96,                0.80263,                0.99767,                  1.078,                 0.3849,                0.63448,                0.44505,                0.26873,                  1.145,                 24.967,                 1.2495,               0.000119,               0.000119,               0.000119
                     97,                0.79289,                 1.0208,                 1.0634,                0.39373,                0.51724,                0.43982,                 0.2677,                 1.1405,                 22.123,                 1.2617,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.78675,                0.98941,                 1.0643,                0.36387,                0.61379,                0.43985,                0.26489,                  1.148,                 23.735,                 1.2638,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.75839,                0.97414,                   1.03,                0.36868,                    0.6,                0.44888,                0.27168,                 1.1424,                 23.609,                 1.2577,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.77363,                0.98164,                 1.0534,                0.36634,                0.62069,                0.45134,                0.27111,                 1.1448,                 24.828,                 1.2634,               3.98e-05,               3.98e-05,               3.98e-05
